model,AR_rho,AR_acc,AR_mae,AR_jsd,DE_rho,DE_acc,DE_mae,DE_jsd,EN_rho,EN_acc,EN_mae,EN_jsd,ID_rho,ID_acc,ID_mae,ID_jsd,JA_rho,JA_acc,JA_mae,JA_jsd,RU_rho,RU_acc,RU_mae,RU_jsd,TR_rho,TR_acc,TR_mae,TR_jsd,ZH_rho,ZH_acc,ZH_mae,ZH_jsd,avg_rho,avg_acc,avg_mae,avg_jsd
Qwen3-4B,0.1726,0.62,0.3448,0.1783,0.3961,0.7067,0.2703,0.1276,0.513,0.7833,0.1906,0.0765,0.3727,0.75,0.2817,0.1322,0.8501,0.8333,0.1552,0.0693,0.2861,0.7033,0.2685,0.1207,0.3413,0.71,0.2816,0.139,0.9026,0.9367,0.0657,0.024,0.4793,0.7554,0.2323,0.1085
Qwen3-14B,0.3109,0.65,0.2977,0.1452,0.4344,0.77,0.2251,0.0984,0.4379,0.8167,0.1837,0.0723,0.4545,0.7767,0.2541,0.1135,0.8988,0.9,0.1149,0.0453,0.3751,0.6733,0.2547,0.1084,0.5427,0.7367,0.2295,0.0943,0.9122,0.9267,0.0699,0.0268,0.5458,0.7813,0.2037,0.088
Llama-3.2-3B,0.2399,0.6333,0.3197,0.1665,0.3218,0.6833,0.2471,0.1033,0.52,0.81,0.1719,0.0618,0.4393,0.73,0.2627,0.1128,0.7826,0.82,0.1748,0.0815,0.3411,0.63,0.2914,0.1343,0.5221,0.7633,0.2443,0.1104,0.8729,0.91,0.1046,0.0482,0.505,0.7475,0.2271,0.1023
Llama-3.1-8B,0.3307,0.6867,0.2659,0.1106,0.5038,0.77,0.2078,0.0802,0.5657,0.81,0.1559,0.0529,0.5649,0.7867,0.2256,0.0877,0.8432,0.8167,0.1609,0.0689,0.4114,0.6967,0.2472,0.0998,0.6342,0.8067,0.1999,0.0742,0.9052,0.92,0.0779,0.0299,0.5949,0.7867,0.1926,0.0755
Gemma-3-4B,0.193,0.6567,0.3296,0.1778,0.3127,0.6767,0.2911,0.1489,0.4256,0.77,0.2172,0.0995,0.3924,0.7,0.2817,0.1331,0.8673,0.83,0.1533,0.0698,0.2453,0.6367,0.2945,0.1336,0.5262,0.6967,0.262,0.1176,0.857,0.89,0.0966,0.0454,0.4774,0.7321,0.2408,0.1157
Gemma-3-12B,0.2916,0.62,0.3212,0.1662,0.3718,0.6567,0.2901,0.1513,0.5112,0.7233,0.2328,0.1062,0.4309,0.71,0.2765,0.132,0.8572,0.8367,0.1343,0.0597,0.4385,0.6433,0.3107,0.1481,0.5628,0.77,0.2377,0.1047,0.8613,0.8867,0.0866,0.0393,0.5407,0.7308,0.2362,0.1134
